Id,SalePrice
1461,119854.43072225456
1462,157434.93945739805
1463,179175.29547195203
1464,191683.77167259
1465,200458.82653431865
1466,170105.0944226763
1467,177888.08659307353
1468,161289.37378623724
1469,195434.59962023454
1470,124272.18818931904
1471,189600.95648376705
1472,103289.23287688586
1473,95892.31095601877
1474,144008.59336928956
1475,115016.53083170179
1476,354700.43082579
1477,240588.10170443822
1478,279645.87832491717
1479,278247.3951170607
1480,516159.91826421075
1481,327058.4868720437
1482,199198.9819048986
1483,173893.63900577393
1484,163393.2029733616
1485,180558.18297114034
1486,191535.9325952296
1487,334616.38460355165
1488,231097.95518370194
1489,196113.28876860387
1490,232195.34671127048
1491,191134.08515277843
1492,93162.97043437931
1493,181269.82845868554
1494,274632.0088409615
1495,284413.80209740717
1496,228688.33847571647
1497,183593.24665062907
1498,173331.13191828039
1499,162148.11143869784
1500,156510.41030600175
1501,176686.46322553264
1502,161838.50364833634
1503,244583.4081052927
1504,244991.00245774433
1505,227419.96223318618
1506,189455.59505037213
1507,260254.26336621164
1508,197409.225118704
1509,161645.62717999532
1510,147651.85434194756
1511,155259.02150849346
1512,163941.70763963292
1513,145133.92054837174
1514,150496.3460092963
1515,190640.01732547252
1516,145221.74219990367
1517,169753.18348409722
1518,130691.03076988719
1519,218441.55355791218
1520,131499.9649879419
1521,134826.38093884097
1522,173305.27062005425
1523,117531.9352345946
1524,116079.26429674902
1525,121860.84458670387
1526,110944.65430626426
1527,110048.57317526228
1528,140521.92642696775
1529,149086.8316483986
1530,180954.18667877867
1531,112610.72522617232
1532,90150.19899832869
1533,143481.8998556148
1534,123093.76675204051
1535,146098.36842054705
1536,109426.24455049551
1537,64221.03635513196
1538,140002.42122517977
1539,167284.90743308776
1540,84349.06674325932
1541,130161.22290124142
1542,152868.31086951875
1543,180835.41078052032
1544,81659.15811558405
1545,114671.79949434732
1546,135372.30861876294
1547,127435.2825328071
1548,131833.08538213363
1549,118037.51678290627
1550,138749.75564947608
1551,110107.65353674267
1552,139728.81056723915
1553,134590.5590337917
1554,122871.22291027544
1555,162971.7995229201
1556,97586.71126961925
1557,97883.84761736028
1558,110123.80531951309
1559,74867.0106549937
1560,132225.63046717763
1561,119892.8535339395
1562,132447.59128392776
1563,125368.11382506666
1564,163371.22679990839
1565,148374.4707800079
1566,233391.04991440417
1567,84705.5056007748
1568,247879.1839604151
1569,143345.84588674098
1570,123605.69849903583
1571,109389.21818166107
1572,141858.84900411856
1573,211069.39868656363
1574,131484.44048946354
1575,254092.3347797928
1576,221607.4312750934
1577,177352.2958359883
1578,132532.06828059
1579,150196.93231876576
1580,194111.1057165397
1581,148498.58535381412
1582,123386.4863731872
1583,297398.0472609722
1584,219397.17671341708
1585,140624.34958773584
1586,72436.48534768699
1587,105713.24272150215
1588,155886.0113783879
1589,95876.53358438032
1590,133937.28106917438
1591,97103.05809824994
1592,122294.78397085857
1593,124445.48384349911
1594,130496.8962385489
1595,116518.46195755602
1596,240462.25406936507
1597,208773.65025106457
1598,228769.66374372834
1599,162815.46554903485
1600,157886.3456179276
1601,69741.6732917164
1602,127466.18600824739
1603,66376.7151697742
1604,273223.913498044
1605,238522.67703752374
1606,164171.80431500264
1607,173078.01353209888
1608,200281.05493664375
1609,180036.7622091799
1610,150094.23736455932
1611,139726.73739165158
1612,172327.94311402473
